Country, Year, Rate
Australia,2010,36.3
Australia,2011,38.8
Australia,2012,39.8
Australia,2013,39
Australia,2014,41.6
Australia,2015,43.1
Australia,2016,43.5
Australia,2017,43.2
Australia,2018,42.1
Australia,2019,44.5
Austria,2010,9.7
Austria,2011,10.5
Austria,2012,13.3
Austria,2013,17
Austria,2014,15.7
Austria,2015,17.8
Austria,2016,20.5
Austria,2017,28.1
Austria,2018,31.6
Austria,2019,30.8
Belgium,2010,31.5
Belgium,2011,31.4
Belgium,2012,36.4
Belgium,2013,37.5
Belgium,2014,34.3
Belgium,2015,39
Belgium,2016,37.6
Belgium,2017,39.3
Belgium,2018,37.7
Brazil,2010,11.3
Brazil,2011,11.9
Brazil,2012,10.4
Brazil,2013,10.5
Brazil,2014,9.8
Brazil,2015,9.6
Brazil,2016,9.8
Brazil,2017,9.7
Brazil,2018,10.1
Brazil,2019,10.6
Canada,2010,40.5
Canada,2011,44.1
Canada,2012,44.3
Canada,2013,50.1
Canada,2014,58.3
Canada,2015,53.1
Canada,2016,54.5
Canada,2017,59.3
Canada,2018,62.2
Canada,2019,63.6
Chile,2010,29.9
Chile,2011,25
Chile,2012,26.6
Chile,2013,20.6
Chile,2014,17.6
Chile,2015,15.2
Chile,2016,15.5
Chile,2017,15.9
Chile,2018,18
Chile,2019,17.7
Colombia,2010,1.1
Colombia,2011,0.9
Colombia,2012,1
Colombia,2013,1.5
Colombia,2014,2.7
Colombia,2015,3.6
Colombia,2016,3.6
Colombia,2017,3.1
Colombia,2018,3.8
Colombia,2019,5.9
Costa Rica,2010,11
Costa Rica,2011,12.4
Costa Rica,2012,14.3
Costa Rica,2013,15.3
Costa Rica,2014,13.4
Costa Rica,2015,12.9
Costa Rica,2016,13.2
Costa Rica,2017,17.5
Costa Rica,2018,15.1
Costa Rica,2019,21.3
Czechia,2010,2.2
Czechia,2011,10.2
Czechia,2012,10.2
Czechia,2013,12.4
Czechia,2014,12.4
Czechia,2015,15
Czechia,2016,13.8
Czechia,2017,16.7
Czechia,2018,15.7
Czechia,2019,16.7
Denmark,2010,56.6
Denmark,2011,54
Denmark,2012,55
Denmark,2013,56.2
Denmark,2014,53.5
Denmark,2015,58.3
Denmark,2016,59.9
Denmark,2017,59.3
Denmark,2018,59.9
Denmark,2019,56.7
Estonia,2010,9.6
Estonia,2011,9.1
Estonia,2012,10.1
Estonia,2013,7.7
Estonia,2014,7.6
Estonia,2015,7.2
Estonia,2016,7.5
Estonia,2017,10
Estonia,2018,9
Estonia,2019,10.8
Finland,2010,41.8
Finland,2011,35.4
Finland,2012,38.3
Finland,2013,36.9
Finland,2014,36.4
Finland,2015,36.1
Finland,2016,35.8
Finland,2017,34.3
Finland,2018,38
Finland,2019,36.7
France,2010,24.4
France,2011,25.2
France,2012,27.4
France,2013,27.4
France,2014,26.5
France,2015,30.1
France,2016,29.5
France,2017,28.7
Germany,2010,26.2
Germany,2011,27.5
Germany,2012,30.4
Germany,2013,36
Germany,2014,34.9
Germany,2015,41.9
Germany,2016,42.4
Germany,2017,47
Germany,2018,51
Germany,2019,49.5
Greece,2010,0.8
Greece,2011,1
Greece,2012,1
Greece,2013,1
Greece,2014,4.5
Greece,2015,7.8
Greece,2016,9.2
Greece,2017,11.7
Greece,2018,12.5
Greece,2019,14
Hungary,2010,29.7
Hungary,2011,28.5
Hungary,2012,31.3
Hungary,2013,32.3
Hungary,2014,32.2
Hungary,2015,35.7
Hungary,2016,33.3
Hungary,2017,37.4
Hungary,2018,39.2
Hungary,2019,42.9
Iceland,2010,21.4
Iceland,2011,23.6
Iceland,2012,21.8
Iceland,2013,26.6
Iceland,2014,28.8
Iceland,2015,27.7
Iceland,2016,22.3
Iceland,2017,27.8
Iceland,2018,30.2
Iceland,2019,33.3
Ireland,2010,22.3
Ireland,2011,26.8
Ireland,2012,31.5
Ireland,2013,38.2
Ireland,2014,41.6
Ireland,2015,46.4
Ireland,2016,49
Ireland,2017,51.4
Ireland,2018,56.3
Israel,2010,23.1
Israel,2011,23.5
Israel,2012,25.1
Israel,2013,24
Israel,2014,23.7
Israel,2015,26.3
Israel,2016,31
Israel,2017,34.2
Israel,2018,35.9
Israel,2019,38.3
Italy,2010,18.3
Italy,2011,19.7
Italy,2012,20.6
Italy,2013,20
Italy,2014,19.6
Italy,2015,23.2
Italy,2016,22.7
Italy,2017,25.2
Japan,2010,4.4
Japan,2011,5
Japan,2012,5.4
Japan,2013,5.7
Japan,2014,5.8
Japan,2015,5.9
Japan,2016,6
Japan,2017,8.8
Japan,2018,8.9
Japan,2019,9
Korea,2010,20.4
Korea,2011,20.4
Korea,2012,21.1
Korea,2013,18.2
Korea,2014,16.8
Korea,2015,16.5
Korea,2016,15.3
Korea,2017,14.4
Korea,2018,11.5
Korea,2019,11
Latvia,2010,12
Latvia,2011,14.8
Latvia,2012,13.9
Latvia,2013,15.9
Latvia,2014,13.9
Latvia,2015,18.6
Latvia,2016,19.8
Latvia,2017,23
Latvia,2018,26.9
Latvia,2019,24.4
Lithuania,2010,2.9
Lithuania,2011,2.5
Lithuania,2012,3.4
Lithuania,2013,3.3
Lithuania,2014,3.6
Lithuania,2015,3.7
Lithuania,2016,4.7
Lithuania,2017,8.1
Lithuania,2018,7.5
Lithuania,2019,8.5
Luxembourg,2010,21.6
Luxembourg,2011,22
Luxembourg,2012,36
Luxembourg,2013,38.6
Luxembourg,2014,36.7
Luxembourg,2015,43.9
Luxembourg,2016,42.5
Luxembourg,2017,40.3
Luxembourg,2018,49.7
Luxembourg,2019,43.2
Mexico,2010,8.2
Mexico,2011,7.3
Mexico,2012,7
Mexico,2013,7.1
Mexico,2014,8.5
Mexico,2015,8.3
Mexico,2016,6.8
Mexico,2017,6.2
Mexico,2018,6.6
Mexico,2019,6.8
Netherlands,2010,49.8
Netherlands,2011,48.2
Netherlands,2012,53.2
Netherlands,2013,63.2
Netherlands,2014,60
Netherlands,2015,65.3
Netherlands,2016,67
Netherlands,2017,68.8
Netherlands,2018,65.3
Netherlands,2019,59.6
New Zealand,2010,26.5
New Zealand,2011,31.8
New Zealand,2012,35
New Zealand,2013,39.2
New Zealand,2014,40.9
New Zealand,2015,46.5
New Zealand,2016,43.2
Norway,2010,39.4
Norway,2011,39.4
Norway,2012,43.1
Norway,2013,41.8
Norway,2014,45.3
Norway,2015,49
Norway,2016,51.4
Poland ,2010,4.2
Poland ,2011,4.7
Poland ,2012,4.4
Poland ,2013,4
Poland ,2014,3.8
Poland ,2015,5.6
Poland ,2016,8.1
Poland ,2017,9.3
Poland ,2018,9.3
Poland ,2019,9.3
Portugal,2010,2
Portugal,2011,1.6
Portugal,2012,1.6
Portugal,2013,17.6
Portugal,2014,20.2
Portugal,2015,24.3
Portugal,2016,26.7
Portugal,2017,28.2
Portugal,2018,33.1
Portugal,2019,37.3
Russia,2010,4.9
Russia,2011,3.7
Russia,2012,3.7
Russia,2013,4.4
Russia,2014,8.4
Russia,2015,11.7
Russia,2016,12.6
Russia,2017,13.4
Russia,2018,14.2
Russia,2019,15
Slovak Republic,2010,0
Slovak Republic,2011,0
Slovak Republic,2012,24.2
Slovak Republic,2013,18.6
Slovak Republic,2014,23.5
Slovak Republic,2015,21.9
Slovak Republic,2016,20.3
Slovak Republic,2017,16
Slovak Republic,2018,17.6
Slovak Republic,2019,17.1
Slovenia,2010,6.5
Slovenia,2011,5.8
Slovenia,2012,7.3
Slovenia,2013,9.1
Slovenia,2014,8.7
Slovenia,2015,11.8
Slovenia,2016,12.9
Slovenia,2017,15.5
Slovenia,2018,15.6
Slovenia,2019,20
South Africa,2010,15.5
South Africa,2011,15.5
South Africa,2012,14.8
South Africa,2013,14.6
South Africa,2014,16
South Africa,2015,14.6
South Africa,2016,18
South Africa,2017,19.4
South Africa,2018,18.9
Spain,2010,28.7
Spain,2011,28.6
Spain,2012,30.4
Spain,2013,28.9
Spain,2014,30.8
Spain,2015,34
Spain,2016,32.8
Spain,2017,32.6
Spain,2018,32.9
Spain,2019,32.8
Sweden,2010,44
Sweden,2011,46.5
Sweden,2012,49.3
Sweden,2013,50
Sweden,2014,50
Sweden,2015,52
Sweden,2016,53.1
Sweden,2017,53
Sweden,2018,54.6
Switzerland,2010,48.9
Switzerland,2011,49.7
